"sysRac"	"indRac"	"policy"	"polAffil"	"revDisc"
3.1	5.125	4.2	4	2
4.4	5.25	5.4	5	2
1.7	3.75	1.4	6	6
4.2	5.125	4.2	6	1
3.1	4.75	2.6	3	4
4	4.57142857142857	3.4	6	3
4.2	4.375	4.8	5	2
3.7	4.5	4.2	4	6
2.1	4.375	1.4	6	1
3.1	3.375	3.2	4	2
4.2	5.5	5	6	3
1.8	4.375	2.8	3	1
3	2.625	4.6	4	3
2.6	4.625	1.2	4	7
5	5.5	5.4	5	2
4.4	4	4.8	6	2
3.8	5.625	4.2	6	1
5.4	4.75	4.6	5	1
5	5.25	5.2	4	4
3.9	4.25	2.6	4	6
4.2	4.25	4.8	4	3
4.5	5	5	5	5
2.5	3.875	2.6	1	4
3.6	4.25	3.6	6	2
3.5	4.375	4.2	4	3
2.7	5.5	1.2	2	7
2.9	3.875	2.2	3	6
3.3	5.125	4.2	6	4
4.3	5.75	4.6	2	4
3.3	4.375	3	2	3
3.8	4.375	3.2	3	4
4.7	4	4.6	4	3
4.4	4.75	4.8	4	1
3.2	5.25	3.2	3	2
4.8	5.375	4.2	5	2
2.7	4.125	3.6	2	3
4.8	5.75	6	5	4
3.1	3.625	1.8	2	4
4.3	4.375	4	5	2
4.7	5.375	4	4	4
2.4	4.625	2.8	4	4
4.2	4.875	3.8	5	4
4.5	3.375	2.8	4	4
5.3	4.375	4.4	7	4
3.3	4.875	2	2	5
4.6	4.875	3.2	6	4
2	5.125	2.8	5	7
3.3	4.5	4.2	5	2
3.8	3.875	4	3	3
3.8	6.125	4.6	5	7
4.1	4.5	3	3	2
3.7	3.75	2.8	4	4
6	3.75	4.6	7	3
3.3	4.625	1.8	2	1
1.8	5.875	1.8	5	1
2.5	5.875	3.8	2	6
3.8	5.5	4.8	6	4
3.3	5.125	3.4	2	5
2.6	3.5	2.6	5	2
4.5	5.125	4.4	6	1
3.8	5.875	4.8	7	1
3.7	4.625	3.8	5	4
3.9	4	4	3	4
5.4	6.125	5.2	4	4
2.44444444444444	3.5	2.4	1	7
5.2	5	6.6	6	6
2.7	4.875	2	6	5
4	5.5	2.8	3	6
4.5	4.25	4.6	4	5
2.3	5.375	3.4	1	4
2.1	2.125	6.2	1	5
3.5	3.75	3.6	4	4
3.3	3.5	4.4	7	4
4.2	4.25	2.8	5	5
6.4	4.75	5.2	6	1
2.9	3.75	2.6	3	4
2.8	3.875	2.8	4	3
5.7	6.125	4.6	6	1
4.5	5.125	5	6	2
3.9	4.75	4	6	4
3.8	5	4.4	3	3
4.1	5.25	4.2	7	5
3.5	4.25	2.4	3	3
4.4	4.625	4.2	4	4
3.3	2.75	5.6	4	4
3.4	3.375	3	4	4
2.5	3.75	2.8	6	1
